id,value
Coronary Artery Bypass,0
Mineral Water,1
Noodle,2
Intrauterine Insemination,3
Thyroid Disease,4
Sleep Disorder,5
Watery Eyes,6
Egg Whites,7
Psychosis,8
Irritability,9
Recipe,10
Gender,11
Obamacare,12
Toenail,13
Addiction,14
Almond,15
Eyebrow,16
Thirst,17
Pacemaker,18
Benign,19
Irritable Bowel Syndrome,20
Screening,21
Piercing,22
Sunscreen,23
Triglyceride,24
Knee Pain,25
Congestive Heart Failure,26
Fiber,27
Oxygen,28
Cavity,29
Chemotherapy,30
Wine,31
Vasectomy,32
Potassium,33
Cooking,34
Inflammation,35
Massage,36
Forearm,37
Vertigo,38
Exposure,39
Genitalia,40
Urethra,41
Magnetic Resonance Imaging,42
Heel,43
Vaccination,44
Pulse,45
Strep Throat,46
Penicillin,47
Biopsy,48
Pap Test,49
Juice,50
Panic Attack,51
Armpit,52
Infant,53
Bipolar Disorder,54
Thumb,55
Vein,56
Wound,57
Rectum,58
Prostate,59
Nervousness,60
Colonoscopy,61
Coffee,62
Lightheadedness,63
Kidney Stone,64
Steroid,65
Corpulence,66
Jaw,67
Arthritis,68
Seizure,69
Amoxicillin,70
Workout,71
Elbow,73
Oil,74
Reaction,75
Supplement,76
Wrist,77
Testosterone,78
Height,79
Miscarriage,80
Ultrasound,81
Weight Gain,82
Medicare,83
Wart,84
Uterus,85
Lung,86
Drainage,87
Confusion,91
Genital Herpes,92
Bladder,93
Tongue,94
Orgasm,97
Weakness,99
