id,name,value
urinarytractinfectionquestions,Urinary Tract Infection,39
circumcisionquestions,Circumcision,39
clitorisquestions,Clitoris,39
psoriasisquestions,Psoriasis,39
arteryquestions,Artery,39
ulcerquestions,Ulcer,39
exposurequestions,Exposure,39
estrogenquestions,Estrogen,39
type2diabetesquestions,Type 2 Diabetes,38
vertigoquestions,Vertigo,38
wisdomtoothquestions,Wisdom Tooth,38
medicaid,Medicaid,38
menstrualquestions,Menstrual,38
eyelidquestions,Eyelid,38
forearmquestions,Forearm,37
caffeinequestions,Caffeine,36
vinegarquestions,Vinegar,36
moodswingquestions,Mood Swing,36
massagequestions,Massage,36
poisonivyquestions,Poison Ivy,36
stentquestions,Stent,35
inflammationquestions,Inflammation,35
organquestions,Organ,35
obesityquestions,Obesity,34
methicillinresistantstaphylococcusaureusquestions,methicillin resistant staphylococcus aureus,34
pinkeyequestions,Pink Eye,34
sprainquestions,Sprain,34
cookingquestions,Cooking,34
tuballigationquestions,Tubal Ligation,34
waistquestions,Waist,33
chickenpoxquestions,Chickenpox,33
tumorquestions,Tumor,33
heartdiseasequestions,Heart Disease,33
pelvicareaquestions,Pelvic Area,33
appendixquestions,Appendix,33
potassiumquestions,Potassium,33
spasmquestions,Spasm,33
wormquestions,Worm,33
intestinequestions,Intestine,32
yeastquestions,Yeast,32
alcoholismquestions,Alcoholism,32
vasectomyquestions,Vasectomy,32
insomniaquestions,Insomnia,32
hypothyroidismquestions,Hypothyroidism,32
healthyeatingquestions,Healthy Eating,31
oxycodonequestions,Oxycodone,31
vegetablequestions,Vegetable,31
winequestions,Wine,31
colonquestions,Colon,31
cutsquestions,Cuts,31
traumaquestions,Trauma,31
rheumatoidarthritisquestions,Rheumatoid Arthritis,31
anemiaquestions,Anemia,31
griefquestions,Grief,31
runnynosequestions,Runny Nose,31
libidoquestions,Libido,30
newbornquestions,Newborn,30
catscanquestions,CAT Scan,30
yogurtquestions,Yogurt,30
bloodthinnerquestions,Blood Thinner,30
dryskinquestions,Dry Skin,30
quitsmokingquestions,Quit Smoking,30
chemotherapyquestions,Chemotherapy,30
hydrocodonequestions,Hydrocodone,30
hairlossquestions,Hair Loss,30
orangequestions,Orange,30
gallbladderquestions,Gallbladder,29
scoliosisquestions,Scoliosis,29
cavityquestions,Cavity,29
dehydrationquestions,Dehydration,29
immunesystemquestions,Immune System,29
ringwormquestions,Ringworm,29
vaccinesquestions,Vaccines,28
lotionquestions,Lotion,28
peaquestions,Pea,28
oxygenquestions,Oxygen,28
concussionquestions,Concussion,27
infertilityquestions,Infertility,27
fiberquestions,Fiber,27
conceptionquestions,Conception,27
gastricbypasssurgeryquestions,Gastric Bypass Surgery,27
lupusquestions,Lupus,27
cerealquestions,Cereal,27
endoscopyquestions,Endoscopy,27
scabiesquestions,Scabies,27
whoopingcoughquestions,Whooping Cough,27
bacterialvaginosisquestions,Bacterial Vaginosis,27
congestiveheartfailurequestions,Congestive Heart Failure,26
physicaltherapyquestions,Physical Therapy,26
concentrationquestions,Concentration,26
turkeyquestions,Turkey,26
chronicobstructivepulmonarydiseasequestions,Chronic Obstructive Pulmonary Disease,26
