id,name,value
fatiguequestions,Fatigue,124
ovaryquestions,Ovary,123
thyroidquestions,Thyroid,123
spermquestions,Sperm,121
cystquestions,Cyst,120
thighquestions,Thigh,119
weightlossquestions,Weight Loss,118
toequestions,Toe,114
hysterectomyquestions,Hysterectomy,114
menopausequestions,Menopause,112
brainquestions,Brain,110
ibuprofenquestions,Ibuprofen,109
sexuallytransmitteddiseasequestions,Sexually Transmitted Disease,106
drowsinessquestions,Drowsiness,106
bloatingquestions,Bloating,104
nipplequestions,Nipple,103
irregularityquestions,Irregularity,102
bacteriumquestions,Bacterium,101
shortstaturequestions,Short Stature,101
sorethroatquestions,Sore Throat,101
bloodsugarquestions,Blood Sugar,101
weaknessquestions,Weakness,99
orgasmquestions,Orgasm,97
swallowquestions,Swallow,97
sinusquestions,Sinus,97
migrainequestions,Migraine,97
cholesterolquestions,Cholesterol,97
tonguequestions,Tongue,94
mealquestions,Meal,94
tightnessquestions,Tightness,93
bladderquestions,Bladder,93
catsquestions,Cats,92
genitalherpesquestions,Genital Herpes,92
confusionquestions,Confusion,91
fracturequestions,Fracture,87
drainagequestions,Drainage,87
chlamydiaquestions,Chlamydia,86
drugtestquestions,Drug Test,86
acetaminophenquestions,Acetaminophen,86
lungquestions,Lung,86
numbnessquestions,Numbness,86
nervequestions,Nerve,85
uterusquestions,Uterus,85
coldquestions,Cold,85
hungerquestions,Hunger,84
hormonequestions,Hormone,84
wartquestions,Wart,84
medicarequestions,Medicare,83
mucusquestions,Mucus,83
weightgainquestions,Weight Gain,82
ultrasoundquestions,Ultrasound,81
fertilityquestions,Fertility,81
miscarriagequestions,Miscarriage,80
heightquestions,Height,79
tastequestions,Taste,78
testosteronequestions,Testosterone,78
fibromyalgiaquestions,Fibromyalgia,78
wristquestions,Wrist,77
cryingquestions,Crying,77
supplementquestions,Supplement,76
constipationquestions,Constipation,76
reactionquestions,Reaction,75
oilquestions,Oil,74
elbowquestions,Elbow,73
feedingquestions,Feeding,71
birthquestions,Birth,71
workoutquestions,Workout,71
earinfectionquestions,Ear Infection,71
scarquestions,Scar,70
amoxicillinquestions,Amoxicillin,70
seizurequestions,Seizure,69
asthmaquestions,Asthma,69
sinusinfectionquestions,Sinus Infection,68
hivquestions,HIV,68
spinequestions,Spine,68
arthritisquestions,Arthritis,68
bloodclotquestions,Blood Clot,67
marijuanaquestions,Marijuana,67
jawquestions,Jaw,67
corpulencequestions,Corpulence,66
steroidquestions,Steroid,65
xrayquestions,Xray,65
herniaquestions,Hernia,65
nailquestions,Nail,65
kidneystonequestions,Kidney Stone,64
pneumoniaquestions,Pneumonia,64
heartburnquestions,Heartburn,64
temperaturequestions,Temperature,63
lightheadednessquestions,Lightheadedness,63
dentalquestions,Dental,62
boilquestions,Boil,62
coffeequestions,Coffee,62
fruitquestions,Fruit,62
strokequestions,Stroke,62
caloriequestions,Calorie,61
colonoscopyquestions,Colonoscopy,61
lymphnodequestions,Lymph Node,61
tonsilquestions,Tonsil,61
nervousnessquestions,Nervousness,60
pelvisquestions,Pelvis,60
coldsorequestions,Cold Sore,60
prostatequestions,Prostate,59
insulinquestions,Insulin,58
rectumquestions,Rectum,58
woundquestions,Wound,57
saltquestions,Salt,57
sorequestions,Sore,56
abdominalpainquestions,Abdominal Pain,56
veinquestions,Vein,56
tamponquestions,Tampon,56
foreskinquestions,Foreskin,55
ironquestions,Iron,55
thumbquestions,Thumb,55
cervixquestions,Cervix,55
healthinsurance,Health insurance,54
bipolardisorderquestions,Bipolar Disorder,54
teaquestions,Tea,54
bellybuttonquestions,Belly Button,53
infantquestions,Infant,53
breastfeedquestions,Breastfeed,52
emergencyroomquestions,Emergency Room,52
heartattackquestions,Heart Attack,52
travelquestions,Travel,52
armpitquestions,Armpit,52
tinnitusquestions,Tinnitus,51
breastcancerquestions,Breast Cancer,51
hivesquestions,Hives,51
panicattackquestions,Panic Attack,51
antidepressantquestions,Antidepressant,51
toddlerquestions,Toddler,50
juicequestions,Juice,50
aspirinquestions,Aspirin,50
allergicreactionquestions,Allergic Reaction,50
paptestquestions,Pap Test,49
fishquestions,Fish,49
humanpapillomavirusquestions,Human Papillomavirus,49
stingquestions,Sting,48
erectiledysfunctionquestions,Erectile Dysfunction,48
sodaquestions,Soda,48
biopsyquestions,Biopsy,48
bronchitisquestions,Bronchitis,48
wrinklequestions,Wrinkle,48
prostatecancerquestions,Prostate Cancer,48
penicillinquestions,Penicillin,47
scalpquestions,Scalp,47
hotflashquestions,Hot Flash,47
strepthroatquestions,Strep Throat,46
angerquestions,Anger,46
pulsequestions,Pulse,45
vaccinationquestions,Vaccination,44
calfquestions,Calf,43
buttocksquestions,Buttocks,43
heelquestions,Heel,43
attentiondeficithyperactivitydisorderquestions,Attention Deficit Hyperactivity Disorder,43
scrotumquestions,Scrotum,43
proteinquestions,Protein,43
vaginaldischargequestions,Vaginal Discharge,42
bigtoequestions,Big Toe,42
meatquestions,Meat,42
vitamindquestions,Vitamin D,42
multivitaminquestions,Multivitamin,42
molequestions,Mole,42
magneticresonanceimagingquestions,Magnetic Resonance Imaging,42
thrushquestions,Thrush,41
urethraquestions,Urethra,41
paranoidbehaviorquestions,Paranoid Behavior,41
flatulencequestions,Flatulence,41
affordablecareact,Affordable Care Act,40
stitchesquestions,Stitches,40
sleepinessquestions,Sleepiness,40
foreheadquestions,Forehead,40
genitaliaquestions,Genitalia,40
calciumquestions,Calcium,40
hemorrhoidquestions,Hemorrhoid,40
