id,name,value
painquestions,Pain,2072
pregnancyquestions,Pregnancy,1761
periodquestions,Period,1669
sexualintercoursequestions,Sexual Intercourse,889
visionquestions,Vision,859
skinquestions,Skin,720
stomachquestions,Stomach,587
drinkingquestions,Drinking,563
penisquestions,Penis,563
swellingquestions,Swelling,560
surgeryquestions,Surgery,538
legquestions,Leg,522
drugquestions,Drug,518
headquestions,Head,500
vaginaquestions,Vagina,485
babyquestions,Baby,482
foodquestions,Food,451
eyesquestions,Eyes,443
handquestions,Hand,427
antibioticquestions,Antibiotic,412
weightquestions,Weight,397
earsquestions,Ears,396
movementquestions,Movement,391
armquestions,Arm,386
coldnessquestions,Coldness,386
footquestions,Foot,385
headachequestions,Headache,382
exercisequestions,Exercise,375
walkingquestions,Walking,373
birthcontrolquestions,Birth Control,370
breastquestions,Breast,367
dietquestions,Diet,337
feverquestions,Fever,324
chestquestions,Chest,320
burnquestions,Burn,308
neckquestions,Neck,295
diabetesquestions,Diabetes,291
insurancequestions,Insurance,283
nauseaquestions,Nausea,280
coughquestions,Cough,280
ejaculationquestions,Ejaculation,276
hairquestions,Hair,273
heartquestions,Heart,268
injectionquestions,Injection,264
musclequestions,Muscle,257
pregnancytestquestions,Pregnancy Test,250
mouthquestions,Mouth,242
runningquestions,Running,240
kneequestions,Knee,239
toothquestions,Tooth,239
cancerquestions,Cancer,237
spottingquestions,Spotting,234
throatquestions,Throat,230
fingerquestions,Finger,229
crampsquestions,Cramps,224
urinationquestions,Urination,219
stressquestions,Stress,216
rashquestions,Rash,215
itchquestions,Itch,215
lumpquestions,Lump,213
bloodpressurequestions,Blood Pressure,213
healingquestions,Healing,210
anxietyquestions,Anxiety,203
fluquestions,Flu,202
dizzinessquestions,Dizziness,200
condomquestions,Condom,198
nosequestions,Nose,198
diarrheaquestions,Diarrhea,195
familyquestions,Family,192
pressurequestions,Pressure,191
smokingquestions,Smoking,190
masturbationquestions,Masturbation,190
yeastinfectionquestions,Yeast Infection,187
herpesquestions,Herpes,186
overthecounterquestions,Over The Counter,184
vomitquestions,Vomit,183
fearquestions,Fear,181
smellquestions,Smell,180
depressionquestions,Depression,178
bloodtestquestions,Blood Test,173
shoulderquestions,Shoulder,172
backpainquestions,Back Pain,171
sweatingquestions,Sweating,169
erectionquestions,Erection,168
injuryquestions,Injury,168
allergyquestions,Allergy,160
bruisequestions,Bruise,154
ovulationquestions,Ovulation,153
birthcontrolpillquestions,Birth Control Pill,151
vitaminquestions,Vitamin,148
shinglesquestions,Shingles,148
dogquestions,Dog,148
testiclequestions,Testicle,147
tendernessquestions,Tenderness,147
anusquestions,Anus,144
bowelmovementquestions,Bowel Movement,139
blisterquestions,Blister,139
anklequestions,Ankle,139
lipquestions,Lip,137
liverquestions,Liver,133
kidneyquestions,Kidney,132
acnequestions,Acne,132
milkquestions,Milk,128
highbloodpressurequestions,High Blood Pressure,127
virusquestions,Virus,127
